"","GAME_ID","SEASON","LEAGUE","PLAYER","TEAM","MATCHUP","MIN","PTS","2PM","2PA","3PM","3PA","FTM","FTA","DREB","OREB","REB","AST","STL","TOV","BLK","PF"
"1",25015,"2025-26","Serie A","NICCOLO MANNION","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",24,7,2,2,1,3,0,0,2,0,2,4,0,0,0,3
"2",25015,"2025-26","Serie A","QUINN ELLIS","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",13,4,2,4,0,2,0,0,0,1,1,0,0,3,0,1
"3",25015,"2025-26","Serie A","MATTIA CECCATO","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",25015,"2025-26","Serie A","DEVIN BOOKER","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",22,6,3,5,0,1,0,0,3,1,4,2,0,2,1,3
"5",25015,"2025-26","Serie A","STEFANO TONUT","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"6",25015,"2025-26","Serie A","LEANDRO BOLMARO","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",21,5,1,2,1,2,0,0,1,1,2,3,1,1,1,3
"7",25015,"2025-26","Serie A","ARMONI BROOKS","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",26,9,3,3,1,8,0,0,4,1,5,0,0,0,0,2
"8",25015,"2025-26","Serie A","ZACH LEDAY","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",27,16,4,6,1,3,5,5,3,1,4,1,0,2,0,3
"9",25015,"2025-26","Serie A","GIAMPAOLO RICCI","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",20,8,3,5,0,4,2,2,2,2,4,0,0,0,0,1
"10",25015,"2025-26","Serie A","DIEGO FLACCADORI","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",25015,"2025-26","Serie A","MARKO GUDURIC","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",28,11,1,5,3,7,0,0,3,0,3,3,1,1,0,3
"12",25015,"2025-26","Serie A","OUSMANE DIOP","EA7 EMPORIO ARMANI MILANO","2025-10-05, MIL vs TOR",11,5,2,4,0,0,1,1,3,3,6,0,0,0,0,1
"13",25015,"2025-26","Serie A","CHRISTIAN VITAL","BERTRAM DERTHONA TORTONA","2025-10-05, MIL vs TOR",30,13,3,7,1,7,4,4,1,0,1,2,1,1,0,1
"14",25015,"2025-26","Serie A","PRENTISS HUBB","BERTRAM DERTHONA TORTONA","2025-10-05, MIL vs TOR",15,5,0,0,1,3,2,2,0,0,0,2,0,1,0,0
